# rho	d	rx	ry	rz	vx	vy	vz
2000	4.5	-3.0	-0.5	0	0	0	0
2000	5.0	3.0	0.5	0	0	0	0
2000	4.0	-0.5	3.5	0	0	0	0
2000	4.0	0.5	-3.5	0	0	0	0
2000	3.0	5.0	5.0	0	0	0	0
2000	3.0	-5.0	5.0	0	0	0	0
2000	3.0	5.0	-5.0	0	0	0	0
2000	3.4	-5.0	-5.0	0	0	0	0
2000	5.0	10.0	5.0	0	0	0	0
2000	2.5	8.0	1.0	0	0	0	0
2000	2.0	8.0	-7.0	0	0	0	0
2000	2.3	7.5	-2.5	0	0	0	0
2000	2.0	-2.5	-8.0	0	0	0	0
2000	2.5	2.5	-8.0	0	0	0	0
2000	3.0	-8.0	0.0	0	0	0	0
2000	1.5	-9.0	3.0	0	0	0	0
2000	1.0	-7.5	4.0	0	0	0	0
2000	2.2	-8.0	6.0	0	0	0	0
2000	2.0	-5.0	8.0	0	0	0	0
2000	3.3	3.0	8.0	0	0	0	0
2000	2.1	0.0	9.0	0	0	0	0
2000	1.8	-2.0	7.0	0	0	0	0
